date,store_nbr,transactions,season,holiday_event_weekend,,,
2013-01-03,38,1746,1,0,,,
2013-01-03,39,1426,1,0,,,
2013-01-03,40,1171,1,0,,,
2013-01-03,41,809,1,0,,,
2013-01-03,43,1334,1,0,,,
2013-01-03,44,3618,1,0,,,
2013-01-03,45,3314,1,0,,,
2013-01-03,46,3438,1,0,,,
2013-01-03,47,3660,1,0,,,
2013-01-03,48,2887,1,0,,,
2013-01-03,49,1702,1,0,,,
2013-01-03,50,2307,1,0,,,
2013-01-03,51,1644,1,0,,,
2013-01-03,54,920,1,0,,,
2013-01-04,1,1863,1,0,,,
2013-01-04,2,2066,1,0,,,
2013-01-04,3,3188,1,0,,,
2013-01-04,4,1596,1,0,,,
2013-01-04,5,1642,1,0,,,
2013-01-04,6,1679,1,0,,,
2013-01-04,7,1513,1,0,,,
2013-01-04,8,2962,1,0,,,
2013-01-04,9,1975,1,0,,,
2013-01-04,10,970,1,0,,,
2013-01-04,11,2515,1,0,,,
2013-01-04,12,1064,1,0,,,
2013-01-04,13,879,1,0,,,
2013-01-04,14,1641,1,0,,,
2013-01-04,15,1318,1,0,,,
2013-01-04,16,977,1,0,,,
2013-01-04,17,1139,1,0,,,
2013-01-04,18,1238,1,0,,,
2013-01-04,19,1003,1,0,,,
2013-01-04,23,1257,1,0,,,
2013-01-04,24,2607,1,0,,,
2013-01-04,25,1054,1,0,,,
2013-01-04,26,813,1,0,,,
2013-01-04,27,1034,1,0,,,
2013-01-04,28,651,1,0,,,
2013-01-04,30,689,1,0,,,
2013-01-04,31,1246,1,0,,,
2013-01-04,32,680,1,0,,,
2013-01-04,33,948,1,0,,,
2013-01-04,34,2369,1,0,,,
2013-01-04,35,630,1,0,,,
2013-01-04,37,1701,1,0,,,
2013-01-04,38,1723,1,0,,,
2013-01-04,39,1285,1,0,,,
2013-01-04,40,1044,1,0,,,
2013-01-04,41,835,1,0,,,
2013-01-04,43,1358,1,0,,,
2013-01-04,44,4169,1,0,,,
2013-01-04,45,3630,1,0,,,
2013-01-04,46,3434,1,0,,,
2013-01-04,47,3915,1,0,,,
2013-01-04,48,2900,1,0,,,
2013-01-04,49,2016,1,0,,,
2013-01-04,50,2698,1,0,,,
2013-01-04,51,1786,1,0,,,
2013-01-04,54,794,1,0,,,
2013-01-05,1,1509,1,1,,,
2013-01-05,2,2062,1,1,,,
2013-01-05,3,3623,1,1,,,
2013-01-05,4,1825,1,1,,,
2013-01-05,5,1643,1,1,,,
2013-01-05,6,2154,1,1,,,
2013-01-05,7,1599,1,1,,,
2013-01-05,8,3060,1,1,,,
2013-01-05,9,2604,1,1,,,
2013-01-05,10,1269,1,1,,,
2013-01-05,11,3052,1,1,,,
2013-01-05,12,1293,1,1,,,
2013-01-05,13,1336,1,1,,,
2013-01-05,14,2052,1,1,,,
2013-01-05,15,1543,1,1,,,
2013-01-05,16,1109,1,1,,,
2013-01-05,17,1433,1,1,,,
2013-01-05,18,1323,1,1,,,
2013-01-05,19,1713,1,1,,,
2013-01-05,23,1250,1,1,,,
2013-01-05,24,2578,1,1,,,
2013-01-05,25,1355,1,1,,,
2013-01-05,26,1081,1,1,,,
2013-01-05,27,1327,1,1,,,
2013-01-05,28,1033,1,1,,,
2013-01-05,30,749,1,1,,,
2013-01-05,31,1317,1,1,,,
2013-01-05,32,890,1,1,,,
2013-01-05,33,1217,1,1,,,
2013-01-05,34,2599,1,1,,,
2013-01-05,35,723,1,1,,,
2013-01-05,37,1770,1,1,,,
2013-01-05,38,2214,1,1,,,
2013-01-05,39,1851,1,1,,,
2013-01-05,40,1118,1,1,,,
2013-01-05,41,1021,1,1,,,
2013-01-05,43,1205,1,1,,,
2013-01-05,44,4921,1,1,,,
2013-01-05,45,4331,1,1,,,
2013-01-05,46,4935,1,1,,,
2013-01-05,47,4764,1,1,,,
2013-01-05,48,4084,1,1,,,
2013-01-05,49,2562,1,1,,,
2013-01-05,50,3459,1,1,,,
2013-01-05,51,2068,1,1,,,
2013-01-05,54,949,1,1,,,
2013-01-06,1,520,1,1,,,
2013-01-06,2,1992,1,1,,,
2013-01-06,3,3590,1,1,,,
2013-01-06,4,1891,1,1,,,
2013-01-06,5,1754,1,1,,,
2013-01-06,6,2313,1,1,,,
2013-01-06,7,1431,1,1,,,
2013-01-06,8,2748,1,1,,,
2013-01-06,9,2635,1,1,,,
2013-01-06,10,1173,1,1,,,
2013-01-06,11,3188,1,1,,,
2013-01-06,12,1271,1,1,,,
2013-01-06,13,1008,1,1,,,
2013-01-06,14,1313,1,1,,,
2013-01-06,15,1149,1,1,,,
2013-01-06,16,1323,1,1,,,
2013-01-06,17,1383,1,1,,,
2013-01-06,18,1405,1,1,,,
2013-01-06,19,1157,1,1,,,
2013-01-06,23,1100,1,1,,,
2013-01-06,24,2061,1,1,,,
2013-01-06,25,716,1,1,,,
2013-01-06,26,1075,1,1,,,
2013-01-06,27,1614,1,1,,,
2013-01-06,28,1207,1,1,,,
2013-01-06,30,667,1,1,,,
2013-01-06,31,1468,1,1,,,
2013-01-06,32,772,1,1,,,
2013-01-06,33,1302,1,1,,,
2013-01-06,34,2377,1,1,,,
2013-01-06,35,651,1,1,,,
2013-01-06,37,1282,1,1,,,
2013-01-06,38,2522,1,1,,,
2013-01-06,39,1571,1,1,,,
2013-01-06,40,1023,1,1,,,
2013-01-06,41,1142,1,1,,,
2013-01-06,43,1194,1,1,,,
2013-01-06,44,4925,1,1,,,
2013-01-06,45,4418,1,1,,,
2013-01-06,46,5401,1,1,,,
2013-01-06,47,4935,1,1,,,
2013-01-06,48,4591,1,1,,,
2013-01-06,49,2795,1,1,,,
2013-01-06,50,3297,1,1,,,
2013-01-06,51,1934,1,1,,,
2013-01-06,54,1180,1,1,,,
2013-01-07,1,1807,1,0,,,
2013-01-07,2,1911,1,0,,,
2013-01-07,3,2996,1,0,,,
2013-01-07,4,1514,1,0,,,
2013-01-07,5,1577,1,0,,,
2013-01-07,6,1713,1,0,,,
2013-01-07,7,1705,1,0,,,
2013-01-07,8,2768,1,0,,,
2013-01-07,9,2162,1,0,,,
2013-01-07,10,1148,1,0,,,
2013-01-07,11,2361,1,0,,,
2013-01-07,12,1113,1,0,,,
2013-01-07,13,921,1,0,,,
2013-01-07,14,1671,1,0,,,
2013-01-07,15,1413,1,0,,,
2013-01-07,16,1066,1,0,,,
2013-01-07,17,1292,1,0,,,
2013-01-07,18,1369,1,0,,,
2013-01-07,19,1137,1,0,,,
2013-01-07,23,1185,1,0,,,
2013-01-07,24,2320,1,0,,,
2013-01-07,25,703,1,0,,,
2013-01-07,26,792,1,0,,,
2013-01-07,27,1093,1,0,,,
2013-01-07,28,775,1,0,,,
2013-01-07,30,663,1,0,,,
2013-01-07,31,1170,1,0,,,
2013-01-07,32,699,1,0,,,
2013-01-07,33,1078,1,0,,,
2013-01-07,34,2224,1,0,,,
2013-01-07,35,568,1,0,,,
2013-01-07,37,1450,1,0,,,
2013-01-07,38,1549,1,0,,,
2013-01-07,39,1356,1,0,,,
2013-01-07,40,1148,1,0,,,
2013-01-07,41,744,1,0,,,
2013-01-07,43,1137,1,0,,,
2013-01-07,44,3871,1,0,,,
2013-01-07,45,3339,1,0,,,
2013-01-07,46,3205,1,0,,,
2013-01-07,47,3570,1,0,,,
2013-01-07,48,2697,1,0,,,
2013-01-07,49,1719,1,0,,,
2013-01-07,50,2371,1,0,,,
2013-01-07,51,1637,1,0,,,
2013-01-07,54,890,1,0,,,
2013-01-08,1,1869,1,0,,,
2013-01-08,2,1856,1,0,,,
2013-01-08,3,2826,1,0,,,
2013-01-08,4,1397,1,0,,,
2013-01-08,5,1504,1,0,,,
2013-01-08,6,1555,1,0,,,
2013-01-08,7,1524,1,0,,,
2013-01-08,8,2639,1,0,,,
2013-01-08,9,2206,1,0,,,
2013-01-08,10,1100,1,0,,,
2013-01-08,11,2388,1,0,,,
2013-01-08,12,1130,1,0,,,
2013-01-08,13,879,1,0,,,
2013-01-08,14,1673,1,0,,,
2013-01-08,15,1330,1,0,,,
2013-01-08,16,1009,1,0,,,
2013-01-08,17,1197,1,0,,,
2013-01-08,18,1388,1,0,,,
2013-01-08,19,1013,1,0,,,
2013-01-08,23,1143,1,0,,,
2013-01-08,24,2349,1,0,,,
2013-01-08,25,626,1,0,,,
2013-01-08,26,729,1,0,,,
2013-01-08,27,999,1,0,,,
2013-01-08,28,877,1,0,,,
2013-01-08,30,701,1,0,,,
2013-01-08,31,1200,1,0,,,
2013-01-08,32,641,1,0,,,
2013-01-08,33,1164,1,0,,,
2013-01-08,34,2272,1,0,,,
2013-01-08,35,555,1,0,,,
2013-01-08,37,1366,1,0,,,
2013-01-08,38,1331,1,0,,,
2013-01-08,39,1417,1,0,,,
2013-01-08,40,1090,1,0,,,
2013-01-08,41,764,1,0,,,
2013-01-08,43,1155,1,0,,,
2013-01-08,44,3593,1,0,,,
2013-01-08,45,3102,1,0,,,
2013-01-08,46,3061,1,0,,,
2013-01-08,47,3185,1,0,,,
2013-01-08,48,2320,1,0,,,
2013-01-08,49,1609,1,0,,,
2013-01-08,50,2251,1,0,,,
2013-01-08,51,1613,1,0,,,
2013-01-08,54,729,1,0,,,
2013-01-09,1,1910,1,0,,,
2013-01-09,2,1975,1,0,,,
2013-01-09,3,2932,1,0,,,
2013-01-09,4,1533,1,0,,,
2013-01-09,5,1513,1,0,,,
2013-01-09,6,1702,1,0,,,
2013-01-09,7,1525,1,0,,,
2013-01-09,8,2802,1,0,,,
2013-01-09,9,1976,1,0,,,
2013-01-09,10,930,1,0,,,
2013-01-09,11,2230,1,0,,,
2013-01-09,12,1108,1,0,,,
2013-01-09,13,831,1,0,,,
2013-01-09,14,1591,1,0,,,
2013-01-09,15,1276,1,0,,,
2013-01-09,16,923,1,0,,,
2013-01-09,17,1110,1,0,,,
2013-01-09,18,1206,1,0,,,
2013-01-09,19,960,1,0,,,
2013-01-09,23,1127,1,0,,,
2013-01-09,24,2354,1,0,,,
2013-01-09,25,755,1,0,,,
2013-01-09,26,738,1,0,,,
2013-01-09,27,1033,1,0,,,
2013-01-09,28,645,1,0,,,
2013-01-09,30,627,1,0,,,
2013-01-09,31,1007,1,0,,,
2013-01-09,32,591,1,0,,,
2013-01-09,33,976,1,0,,,
2013-01-09,34,2101,1,0,,,
2013-01-09,35,539,1,0,,,
2013-01-09,37,1544,1,0,,,
2013-01-09,38,1525,1,0,,,
2013-01-09,39,1219,1,0,,,
2013-01-09,40,939,1,0,,,
2013-01-09,41,749,1,0,,,
2013-01-09,43,1000,1,0,,,
2013-01-09,44,4006,1,0,,,
2013-01-09,45,3268,1,0,,,
2013-01-09,46,2989,1,0,,,
2013-01-09,47,3370,1,0,,,
2013-01-09,48,2316,1,0,,,
2013-01-09,49,1776,1,0,,,
2013-01-09,50,2228,1,0,,,
2013-01-09,51,1786,1,0,,,
2013-01-09,54,730,1,0,,,
2013-01-10,1,1679,1,0,,,
2013-01-10,2,1761,1,0,,,
2013-01-10,3,2649,1,0,,,
2013-01-10,4,1326,1,0,,,
2013-01-10,5,1449,1,0,,,
2013-01-10,6,1422,1,0,,,
2013-01-10,7,1487,1,0,,,
2013-01-10,8,2545,1,0,,,
2013-01-10,9,1942,1,0,,,
2013-01-10,10,925,1,0,,,
2013-01-10,11,2274,1,0,,,
2013-01-10,12,1121,1,0,,,
2013-01-10,13,877,1,0,,,
2013-01-10,14,1423,1,0,,,
2013-01-10,15,1317,1,0,,,
2013-01-10,16,889,1,0,,,
2013-01-10,17,1141,1,0,,,
2013-01-10,18,1219,1,0,,,
2013-01-10,19,960,1,0,,,
2013-01-10,23,1024,1,0,,,
2013-01-10,24,2226,1,0,,,
2013-01-10,25,632,1,0,,,
2013-01-10,26,710,1,0,,,
2013-01-10,27,900,1,0,,,
2013-01-10,28,700,1,0,,,
2013-01-10,30,693,1,0,,,
2013-01-10,31,1001,1,0,,,
2013-01-10,32,603,1,0,,,
2013-01-10,33,868,1,0,,,
2013-01-10,34,2079,1,0,,,
2013-01-10,35,553,1,0,,,
2013-01-10,37,1323,1,0,,,
2013-01-10,38,1323,1,0,,,
2013-01-10,39,1209,1,0,,,
2013-01-10,40,944,1,0,,,
2013-01-10,41,649,1,0,,,
2013-01-10,43,967,1,0,,,
2013-01-10,44,3323,1,0,,,
2013-01-10,45,2697,1,0,,,
2013-01-10,46,2627,1,0,,,
2013-01-10,47,2982,1,0,,,
2013-01-10,48,2212,1,0,,,
2013-01-10,49,1481,1,0,,,
2013-01-10,50,2052,1,0,,,
2013-01-10,51,1515,1,0,,,
2013-01-10,54,684,1,0,,,
2013-01-11,1,1813,1,0,,,
2013-01-11,2,1786,1,0,,,
2013-01-11,3,2954,1,0,,,
2013-01-11,4,1398,1,0,,,
2013-01-11,5,1446,1,0,,,
2013-01-11,6,1563,1,0,,,
2013-01-11,7,1497,1,0,,,
2013-01-11,8,2858,1,0,,,
2013-01-11,9,1750,1,0,,,
2013-01-11,10,877,1,0,,,
2013-01-11,11,2053,1,0,,,
2013-01-11,12,1072,1,0,,,
2013-01-11,13,825,1,0,,,
2013-01-11,14,1412,1,0,,,
2013-01-11,15,1168,1,0,,,
2013-01-11,16,912,1,0,,,
2013-01-11,17,986,1,0,,,
2013-01-11,18,1221,1,0,,,
2013-01-11,19,999,1,0,,,
2013-01-11,23,1046,1,0,,,
2013-01-11,24,2350,1,0,,,
2013-01-11,25,979,1,0,,,
2013-01-11,26,725,1,0,,,
2013-01-11,27,856,1,0,,,
2013-01-11,28,618,1,0,,,
2013-01-11,30,623,1,0,,,
2013-01-11,31,1011,1,0,,,
2013-01-11,32,641,1,0,,,
2013-01-11,33,893,1,0,,,
2013-01-11,34,2407,1,0,,,
2013-01-11,35,538,1,0,,,
2013-01-11,37,1447,1,0,,,
2013-01-11,38,1557,1,0,,,
2013-01-11,39,1163,1,0,,,
2013-01-11,40,970,1,0,,,
2013-01-11,41,686,1,0,,,
2013-01-11,43,1264,1,0,,,
2013-01-11,44,3873,1,0,,,
2013-01-11,45,3083,1,0,,,
2013-01-11,46,2892,1,0,,,
2013-01-11,47,3312,1,0,,,
2013-01-11,48,2396,1,0,,,
2013-01-11,49,1768,1,0,,,
2013-01-11,50,2226,1,0,,,
2013-01-11,51,1658,1,0,,,
2013-01-11,54,766,1,0,,,
2013-01-12,1,1473,1,1,,,
2013-01-12,2,1998,1,1,,,
2013-01-12,3,3407,1,1,,,
2013-01-12,4,1543,1,1,,,
2013-01-12,5,1553,1,1,,,
2013-01-12,6,2020,1,1,,,
2013-01-12,7,1416,1,1,,,
2013-01-12,8,2936,1,1,,,
2013-01-12,9,2271,1,1,,,
2013-01-12,10,1120,1,1,,,
2013-01-12,11,2603,1,1,,,
2013-01-12,12,1241,1,1,,,
2013-01-12,13,1179,1,1,,,
2013-01-12,14,1939,1,1,,,
2013-01-12,15,1396,1,1,,,
2013-01-12,16,1045,1,1,,,
2013-01-12,17,1385,1,1,,,
2013-01-12,18,1217,1,1,,,
2013-01-12,19,1521,1,1,,,
2013-01-12,23,1208,1,1,,,
2013-01-12,24,2346,1,1,,,
2013-01-12,25,1368,1,1,,,
2013-01-12,26,907,1,1,,,
2013-01-12,27,1330,1,1,,,
2013-01-12,28,890,1,1,,,
2013-01-12,30,702,1,1,,,
2013-01-12,31,1262,1,1,,,
2013-01-12,32,822,1,1,,,
2013-01-12,33,1108,1,1,,,
2013-01-12,34,2591,1,1,,,
2013-01-12,35,750,1,1,,,
2013-01-12,37,1622,1,1,,,
2013-01-12,38,2142,1,1,,,
2013-01-12,39,1518,1,1,,,
2013-01-12,40,1039,1,1,,,
2013-01-12,41,861,1,1,,,
2013-01-12,43,1142,1,1,,,
2013-01-12,44,4423,1,1,,,
2013-01-12,45,3927,1,1,,,
2013-01-12,46,4263,1,1,,,
2013-01-12,47,4278,1,1,,,
2013-01-12,48,3355,1,1,,,
2013-01-12,49,2309,1,1,,,
2013-01-12,50,3258,1,1,,,
2013-01-12,51,1873,1,1,,,
2013-01-12,54,954,1,1,,,
2013-01-13,1,542,1,1,,,
2013-01-13,2,1988,1,1,,,
2013-01-13,3,3217,1,1,,,
2013-01-13,4,1873,1,1,,,
2013-01-13,5,1510,1,1,,,
2013-01-13,6,2219,1,1,,,
2013-01-13,7,1328,1,1,,,
2013-01-13,8,2765,1,1,,,
2013-01-13,9,2457,1,1,,,
2013-01-13,10,1013,1,1,,,
2013-01-13,11,2875,1,1,,,
2013-01-13,12,1166,1,1,,,
2013-01-13,13,858,1,1,,,
2013-01-13,14,1317,1,1,,,
2013-01-13,15,1122,1,1,,,
2013-01-13,16,1260,1,1,,,
2013-01-13,17,1441,1,1,,,
2013-01-13,18,1376,1,1,,,
2013-01-13,19,1269,1,1,,,
2013-01-13,23,1187,1,1,,,
2013-01-13,24,2001,1,1,,,
2013-01-13,25,748,1,1,,,
2013-01-13,26,963,1,1,,,
2013-01-13,27,1575,1,1,,,
2013-01-13,28,1197,1,1,,,
2013-01-13,30,686,1,1,,,
2013-01-13,31,1467,1,1,,,
2013-01-13,32,753,1,1,,,
2013-01-13,33,1207,1,1,,,
2013-01-13,34,2381,1,1,,,
2013-01-13,35,657,1,1,,,
2013-01-13,37,1210,1,1,,,
2013-01-13,38,2256,1,1,,,
2013-01-13,39,1630,1,1,,,
2013-01-13,40,1048,1,1,,,
2013-01-13,41,1120,1,1,,,
2013-01-13,43,1145,1,1,,,
2013-01-13,44,4676,1,1,,,
2013-01-13,45,4345,1,1,,,
2013-01-13,46,4713,1,1,,,
2013-01-13,47,4796,1,1,,,
2013-01-13,48,3993,1,1,,,
2013-01-13,49,2662,1,1,,,
2013-01-13,50,3261,1,1,,,
2013-01-13,51,1808,1,1,,,
2013-01-13,54,1225,1,1,,,
2013-01-14,1,1780,1,0,,,
2013-01-14,2,1713,1,0,,,
2013-01-14,3,2785,1,0,,,
2013-01-14,4,1321,1,0,,,
2013-01-14,5,1457,1,0,,,
2013-01-14,6,1545,1,0,,,
2013-01-14,7,1629,1,0,,,
2013-01-14,8,2622,1,0,,,
2013-01-14,9,2009,1,0,,,
2013-01-14,10,1000,1,0,,,
2013-01-14,11,2056,1,0,,,
2013-01-14,12,1147,1,0,,,
2013-01-14,13,869,1,0,,,
2013-01-14,14,1700,1,0,,,
2013-01-14,15,1368,1,0,,,
2013-01-14,16,977,1,0,,,
2013-01-14,17,1209,1,0,,,
2013-01-14,18,1314,1,0,,,
2013-01-14,19,1115,1,0,,,
2013-01-14,23,1138,1,0,,,
2013-01-14,24,2341,1,0,,,
2013-01-14,25,664,1,0,,,
2013-01-14,26,758,1,0,,,
2013-01-14,27,1005,1,0,,,
2013-01-14,28,754,1,0,,,
2013-01-14,30,690,1,0,,,
2013-01-14,31,1181,1,0,,,
2013-01-14,32,644,1,0,,,
2013-01-14,33,1008,1,0,,,
2013-01-14,34,2246,1,0,,,
2013-01-14,35,579,1,0,,,
2013-01-14,37,1305,1,0,,,
2013-01-14,38,1502,1,0,,,
2013-01-14,39,1248,1,0,,,
2013-01-14,40,1109,1,0,,,
2013-01-14,41,739,1,0,,,
2013-01-14,43,1091,1,0,,,
2013-01-14,44,3450,1,0,,,
2013-01-14,45,2937,1,0,,,
2013-01-14,46,2780,1,0,,,
2013-01-14,47,3145,1,0,,,
2013-01-14,48,2223,1,0,,,
2013-01-14,49,1525,1,0,,,
2013-01-14,50,2150,1,0,,,
2013-01-14,51,1491,1,0,,,
2013-01-14,54,759,1,0,,,
2013-01-15,1,1680,1,0,,,
2013-01-15,2,1806,1,0,,,
2013-01-15,3,2757,1,0,,,
2013-01-15,4,1385,1,0,,,
2013-01-15,5,1450,1,0,,,
2013-01-15,6,1619,1,0,,,
2013-01-15,7,1603,1,0,,,
2013-01-15,8,2558,1,0,,,
2013-01-15,9,2163,1,0,,,
2013-01-15,10,1070,1,0,,,
2013-01-15,11,2152,1,0,,,
2013-01-15,12,1180,1,0,,,
2013-01-15,13,871,1,0,,,
2013-01-15,14,1554,1,0,,,
2013-01-15,15,1319,1,0,,,
2013-01-15,16,1001,1,0,,,
2013-01-15,17,1216,1,0,,,
2013-01-15,18,1350,1,0,,,
2013-01-15,19,1042,1,0,,,
2013-01-15,23,1075,1,0,,,
2013-01-15,24,2338,1,0,,,
2013-01-15,25,644,1,0,,,
2013-01-15,26,787,1,0,,,
2013-01-15,27,953,1,0,,,
2013-01-15,28,846,1,0,,,
2013-01-15,30,754,1,0,,,
2013-01-15,31,1184,1,0,,,
2013-01-15,32,683,1,0,,,
2013-01-15,33,1062,1,0,,,
2013-01-15,34,2285,1,0,,,
2013-01-15,35,619,1,0,,,
2013-01-15,37,1406,1,0,,,
2013-01-15,38,1395,1,0,,,
2013-01-15,39,1318,1,0,,,
2013-01-15,40,1153,1,0,,,
2013-01-15,41,693,1,0,,,
2013-01-15,43,1123,1,0,,,
2013-01-15,44,3527,1,0,,,
2013-01-15,45,3016,1,0,,,
2013-01-15,46,2973,1,0,,,
2013-01-15,47,3305,1,0,,,
2013-01-15,48,2275,1,0,,,
2013-01-15,49,1571,1,0,,,
2013-01-15,50,2001,1,0,,,
2013-01-15,51,1604,1,0,,,
2013-01-15,54,768,1,0,,,
2013-01-16,1,1933,1,0,,,
2013-01-16,2,1988,1,0,,,
2013-01-16,3,3108,1,0,,,
2013-01-16,4,1557,1,0,,,
2013-01-16,5,1461,1,0,,,
2013-01-16,6,1677,1,0,,,
2013-01-16,7,1619,1,0,,,
2013-01-16,8,2820,1,0,,,
2013-01-16,9,1981,1,0,,,
2013-01-16,10,973,1,0,,,
2013-01-16,11,2060,1,0,,,
2013-01-16,12,1068,1,0,,,
2013-01-16,13,767,1,0,,,
2013-01-16,14,1406,1,0,,,
2013-01-16,15,1222,1,0,,,
2013-01-16,16,782,1,0,,,
2013-01-16,17,1127,1,0,,,
2013-01-16,18,1313,1,0,,,
2013-01-16,19,986,1,0,,,
2013-01-16,23,1124,1,0,,,
2013-01-16,24,2555,1,0,,,
2013-01-16,25,775,1,0,,,
2013-01-16,26,786,1,0,,,
2013-01-16,27,1070,1,0,,,
2013-01-16,28,678,1,0,,,
2013-01-16,30,678,1,0,,,
2013-01-16,31,1096,1,0,,,
2013-01-16,32,648,1,0,,,
2013-01-16,33,1010,1,0,,,
2013-01-16,34,2218,1,0,,,
2013-01-16,35,597,1,0,,,
2013-01-16,37,1495,1,0,,,
2013-01-16,38,1483,1,0,,,
2013-01-16,39,1047,1,0,,,
2013-01-16,40,978,1,0,,,
2013-01-16,41,736,1,0,,,
2013-01-16,43,1037,1,0,,,
2013-01-16,44,4026,1,0,,,
2013-01-16,45,3183,1,0,,,
2013-01-16,46,3034,1,0,,,
2013-01-16,47,3406,1,0,,,
2013-01-16,48,2343,1,0,,,
2013-01-16,49,1780,1,0,,,
2013-01-16,50,2302,1,0,,,
2013-01-16,51,1852,1,0,,,
2013-01-16,54,686,1,0,,,
2013-01-17,1,1786,1,0,,,
2013-01-17,2,1672,1,0,,,
2013-01-17,3,2653,1,0,,,
2013-01-17,4,1296,1,0,,,
2013-01-17,5,1458,1,0,,,
2013-01-17,6,1547,1,0,,,
2013-01-17,7,1565,1,0,,,
2013-01-17,8,2591,1,0,,,
2013-01-17,9,1932,1,0,,,
2013-01-17,10,960,1,0,,,
2013-01-17,11,2167,1,0,,,
2013-01-17,12,1186,1,0,,,
2013-01-17,13,794,1,0,,,
2013-01-17,14,1420,1,0,,,
2013-01-17,15,1274,1,0,,,
2013-01-17,16,973,1,0,,,
2013-01-17,17,1128,1,0,,,
2013-01-17,18,1249,1,0,,,
2013-01-17,19,977,1,0,,,
2013-01-17,23,1089,1,0,,,
2013-01-17,24,2557,1,0,,,
2013-01-17,25,640,1,0,,,
2013-01-17,26,818,1,0,,,
2013-01-17,27,1037,1,0,,,
2013-01-17,28,820,1,0,,,
2013-01-17,30,790,1,0,,,
2013-01-17,31,1161,1,0,,,
2013-01-17,32,726,1,0,,,
2013-01-17,33,961,1,0,,,
2013-01-17,34,2315,1,0,,,
2013-01-17,35,555,1,0,,,
2013-01-17,37,1258,1,0,,,
2013-01-17,38,1342,1,0,,,
2013-01-17,39,1194,1,0,,,
2013-01-17,40,942,1,0,,,
2013-01-17,41,728,1,0,,,
2013-01-17,43,1011,1,0,,,
2013-01-17,44,3412,1,0,,,
2013-01-17,45,2773,1,0,,,
2013-01-17,46,2807,1,0,,,
2013-01-17,47,3217,1,0,,,
2013-01-17,48,2234,1,0,,,
2013-01-17,49,1568,1,0,,,
2013-01-17,50,2012,1,0,,,
2013-01-17,51,1551,1,0,,,
2013-01-17,54,727,1,0,,,
2013-01-18,1,1745,1,0,,,
2013-01-18,2,1901,1,0,,,
2013-01-18,3,2936,1,0,,,
2013-01-18,4,1493,1,0,,,
2013-01-18,5,1378,1,0,,,
